composition,delta_e
As1Y1,-1.555731815
Ga1P1,-0.534168956979969
Ga2Mg1S4,-1.06850412146001
Cd4K1O12V3,-1.96876501556994
Al1Ca1Fe1Na1O12Si4,-2.94906688674055
Hf1O3Pb1,-2.83032030252725
Al2Ba2Co1F14Mn1,-3.48839045683143
Ba2Cd1F14Fe2Mn1,-3.00783590008143
Be2O4Si1,-3.02079260907357
Ba2Ca1Cu1F14Ga2,-3.32560076689177
Ge1O4Zn2,-1.80905281002596
Ca1Cr1F7Sr1,-3.70743045464177
As3Ga1Na6,-0.523152268260989
Ga1Na6P3,-0.54852254869897
Al2Ba2Cu1F14Mn1,-3.46337505258143
O4Si1Zn2,-2.28662469740691
Al2Ca1O4,-3.29389963383548
K3Nb3O13Si2,-2.81844460602018
Ga1Sb1,-0.167087975
Ba1O4Sc2,-3.53412698621643
Ge3Na4O12Zr2,-2.47788751018817
Ba3In2O11Zn5,-2.03881828665078
Ba1Mn1Sb2,-0.452686898448276
Ge4O9Sr1,-2.15895474806491
Ba1Co1O4Si1,-2.51807792768344
Ge2K3Nb3O13,-2.46943995649637
Ba1Mg1O4Si1,-3.15637228728786
Na2O13Si4Ti2,-2.99497502931903
Ba2Cu5F14,-2.42274291680169
Ba1O4Si1Zn1,-2.78089328954976
Cu2Hg1Sn1Te4,-0.162674701893849
Ag1Au1Te2,0.138302785208335
As1Ga1,-0.352947975000001
Fe1O2Rb1,-1.61944615504294
Fe1O1,-1.5186563421465
Ni1O2Sr1,-1.9589379482988
Be2F5Rb1,-3.41796791070694
Cl2Mn1,-1.32470122167712
Hf1Se2,-1.346354685
Cd1F2,-2.45576919942074
In4O7Rb2,-1.75816417239625
Cr1K3Mn1O8,-1.69792834950009
Ca1F2,-4.21940666942074
Ag1As1Mg1,-0.222017740555556
K2S1,-1.16282027800445
Ca3O8V2,-2.91284966135379
Be2F8K2Pb1,-3.2006149371576
Ba3Nb2O8,-3.08714777284846
Ba3O8V2,-2.94719268443071
Cu3O8V2,-1.65225023789694
Cd2Mn3O8,-1.67275503720505
O8Sr3V2,-2.9499773267384
Ga4Ge1O8,-2.06093230169462
Ba1Ni2O8V2,-2.25263625465189
K4O7V2,-2.32974377936312
Ge2K2O7Pb2,-1.83034140701164
Fe2K6O5,-1.47412470047863
Be2F8K2Sr1,-3.55776384561914
Hf1S2,-1.7694135310089
Ge1Te1,-0.0877996241666654
Na2Te1,-1.01122733501221
Cl3Fe1,-0.967269901714342
K3N1,0.426367343664123
Cl3Sc1,-2.38749071046434
K2O1,-1.16374723195958
Cl2Fe1,-0.956567510412749
Na2S1,-1.24672851857222
K2Se1,-1.11070292
Se2Sn1,-0.374788702283734
K2Te1,-1.03371330444444
S2Zr1,-1.70274221267557
Cl2Sr1,-2.73418367041275
Fe2Mg1O4,-2.07985458850145
Al2Mg2Se5,-1.02594533425926
Cl6Rb2Ti1,-2.03671265305567
Ag1Ca1P1,-0.859500121042201
Ba1Na1P1,-0.894807775492751
Ba2F6Ni1,-3.37414871053185
Hf1Te2,-0.826892677222221
Na2O1,-1.42864745252735
Na1P1Sr1,-0.92445402438164
Cr1F3,-2.88322812559833
Fe1K1O2,-1.57998262754294
Cl6Rb2Sn1,-1.73592448117399
Cl2Cu1,-0.711210633746082
Cl6K2Mn1,-1.64233957750087
S2Ti1,-1.46304877727099
F2Sr1,-4.2059876560874
Ba1Ni1O5Y2,-2.99881624398127
Cl6Pb1Rb2,-1.5450487859683
Cl6Mn1Rb2,-1.66382509305643
Ag1As1Ca1,-0.8027823475
Cl6K2Ti1,-2.010257966389
Ba2F6Zn1,-3.58810476830963
As1Na1Sr1,-0.914962465283882
Ba1Cu1Fe1O5Y1,-2.38330236827722
Ge1Mg2O4,-2.58946205312119
Mg1Sc2Se4,-1.58322733845238
F3Mg1Na1,-3.51199437848233
Ba1Cl2,-2.80475097374608
Mg6Mn1O8,-2.75384337028279
Ba3Mg1Nb2O9,-3.1070445994717
Al1F7Mg1Na2,-3.58076151679888
Mg1O5Ti2,-3.20932444451662
In2Mg1O4,-2.13361911752596
F2Hg1,-1.65529646440949
Mg1N2Si1,-1.29209655308842
Ge1Mg1N2,-0.69540863746342
Al2Mg1O4,-3.22983205966881
F2Pb1,-2.65772386942074
Ga2Mg1O4,-2.3840365253831
Mg2O4Sn1,-2.51456503409994
Rb2Se1,-1.06579418666667
Mg1S4Sc2,-1.95524024574573
Cl4Mg1Na2,-2.06564161547807
Mg1Se4Y2,-1.71238191702381
Ba1Ca2Mg1O8Si2,-3.23722528115691
K6Mg1O4,-1.49666417388015
Rb2S1,-1.10369049800445
Mg1O6V2,-2.48013193055649
In2Mg1S4,-0.983431109317157
Al2Mg1S4,-1.36095772253144
Ag1Sc1Se2,-1.099498933125
Cu1O6V2,-1.97008065972542
Mn1O6V2,-2.31657202867262
Ca2Mg1O7Si2,-3.22993298960983
Mg1O7Si2Sr2,-3.2477459762765
Cl3K1Mg1,-2.11870043670481
Ca1Mg1O6Si2,-3.19096253244392
Ba2Ge2Mg1O7,-2.63590854210983
Ge1Mg1O3,-2.40391583986059
Ba2Mg1O7Si2,-3.20902337335983
Ge2Mg1O7Sr2,-2.65943421335983
Mg3O8V2,-2.69686382846917
F6Ge1K2,-2.97952690553185
Al2Cl8Mg1,-1.8766246921927
Cl2Ni1,-0.835216247079415
Mg2O4Si1,-3.07866739776405
Ge1Mg2S4,-1.15363489955525
N2Na1Nb1,-0.848091125384665
Mg1Mo1O4,-2.56132240419695
Cr1Ga1P2,-0.215758250729968
Mg1Se1,-1.26779763208333
O1Sn1,-1.53707803886498
Au2F8Mg1,-1.96469367474687
Na1S2Y1,-2.02708774846959
F6Rb2Si1,-3.37697803330963
Cr1Na1Se2,-0.834195885212912
F6Ge1Rb2,-2.98736988553185
Te2Zr1,-0.88034044222222
Ge1Mg1N4Sr3,-0.768193977560077
Mg2Mo3O8,-2.45579249233564
Fe1Na1O2,-1.80917220525585
F3Mg1Rb1,-3.49888139197866
N1Na3,0.092471370525387
Mg1Na2O4Si1,-2.70574054054812
Cd1S2Zn1,-0.855382869506678
Mg4Nb2O9,-2.9497124359717
Fe1Na1S2,-0.76756142096959
Hg1Se1,-0.182984242483134
Cu1O1,-0.805811471282877
In1Na1S2,-1.04801161221959
Mg3N2,-0.862217904887405
Mg3P2,-0.777500853583977
Mg2O7V2,-2.6261181500049
Ag1Fe1O2,-1.19788795191794
Cd1O2Sr1,-2.06204610543938
In1Na1O2,-1.88506667315229
Cu1F6Sn1,-2.33055247520473
Cu1Mn1O2,-1.54633147891409
Ca1Hg1O2,-1.95030918168094
P1Sc1,-1.61907393197997
Mg1Nb2O6,-2.92392586827102
Ag1Cl1,-0.617803421559561
Cr1Na1O2,-2.3317397054671
Cr1K1S2,-1.07265511575668
Hg1S1,-0.248713479489813
In1N1,-0.0185233226717534
Al4Mg2O18Si5,-3.16590554910865
Ba1Hg1O2,-1.80310736918094
Hf1N2Sr1,-1.48735207892175
O1Zn1,-1.64890428793938
O1Pb1,-1.32143429543938
Ca1Cu1O2,-2.02243212086113
Fe1Se1,-0.282393007500001
Ca1Se2Zn1,-1.17539227
F1Hg1,-1.35693562204869
Ag1Cr1Se2,-0.362695836875
Ga1N1,-0.579270357671753
Ag1Cr1O2,-1.73061092462919
Cr1Na1S2,-1.11093694471959
Cd1S1,-0.790042237006678
Al1N1,-1.50986354267175
Be1O1,-2.96620982793938
Ca3Mg1O8Si2,-3.23977281972834
Ba1Ca1O2,-2.73560776793938
Cl3Mg1Rb1,-2.14220214470481
Cd1Hg1O2,-0.863034931680944
Fe1O2Sr1,-2.26755776754294
F6K2Ti1,-3.45869018984143
Cl1Hg1,-0.695104885292696
Ca1O2Sr1,-3.01844659793938
Ba1O2Sr1,-2.76113920793938
Ca2Mn3O8,-2.32716228874351
K1Na2Sb1,-0.492749150425824
F3Hg1Rb1,-2.18316525847192
Ni1Te1,-0.200786754166665
S1Sr1,-2.29507668200668
Mn1Se1,-0.36326581189655
Se1Sr1,-2.0724931
Cu1Te1,-0.0630781066666652
Cd1F6Ti1,-3.17799143107161
F3K1Mg1,-3.535454168312
Ca1S1,-2.31351990700668
Mg1S1,-1.57958912659001
F3Hg1K1,-2.14802525547192
Ag1F3Zn1,-1.95204356097866
Hg1O2Sr1,-1.88784440918094
Ba2N2Zn1,-0.502135138137402
F3K1Mn1,-2.81857532923728
F3K1Ni1,-2.38543059047866
Ba1Mg2Sb2,-0.775940051666668
Ca1Mg2Sb2,-0.723441199666668
F3Mn1Rb1,-2.81456108823728
Ba1Mo1O3,-2.58380821952725
F3Fe1K1,-2.55141269247866
Ca1Sb2Zn2,-0.456205992
As2Ca1Mg2,-0.956268829666668
Ba1P2Zn2,-0.748720509583975
F6Ni1Pb1,-2.09548212059833
Mg2Sb2Sr1,-0.761447947666668
Ba1Fe2P2,-0.917158365583975
Cd2Sb2Sr1,-0.522578818
O3Pb1Ti1,-2.51383684028451
Mg2N2Sr1,-0.79688123980407
Ag1Cr1S2,-0.613523836381678
Sb2Sr1Zn2,-0.488333468
K1O2Sc1,-2.96539449043938
As2Ca1Cd2,-0.606111508
Cd2P2Sr1,-0.700330219583975
As2Ca1Zn2,-0.66690398
Ba1Cd2P2,-0.690945653583975
F4Si1,-3.34501199830488
Ba1Cd2Sb2,-0.55496657
Ca1Cd2Sb2,-0.47484492
Be2Mg1N2,-1.14210889997074
As2Ba1Cd2,-0.645909306
P2Sr1Zn2,-0.792168135583975
Ca1Cd2P2,-0.677684067583975
Ba1O3Sn1,-2.43842749489749
Ba1Mg2P2,-1.03813832325064
Ca1P2Zn2,-0.806240317583975
As2Ba1Mg2,-0.952409481666668
F4Ge1,-2.57864712230488
Ba1O3Zr1,-3.47419320952725
In2Se3,-0.48730623
Ca1F3Rb1,-3.70933047947866
S1Zn1,-0.956002437006679
Fe2P2Sr1,-0.931702721583974
As2Sn2Sr1,-0.589854764740481
As2Cu2Sr1,-0.513617720000001
Hg1K2O2,-1.22678022734476
As2Ni2Sr1,-0.678002024000001
F3K1Zn1,-2.78903540647866
Ni2Sb2Sr1,-0.536726162
As2Fe2Sr1,-0.546280644
Ba1Se1,-2.05210906
Mn1O3Ti1,-2.83747927972688
Ba2Cu1Hg1O4,-1.81400995127104
K2O5Ti2,-2.85905801299625
Mo1Ni1P2,-0.698964271979968
Ga2Se3,-0.588927451999999
K2Mn1Te2,-0.763327974091952
K2Mn1Se2,-0.94997272175862
K2Mn1S2,-1.09760200136396
Cr1K1O2,-2.16931485150419
Fe1Mo1O6Sr2,-2.57350043536868
Ba2In1Nb1O6,-2.79866341252725
O3Sr1Ti1,-3.3524676652845
Ca1Mg2N2,-0.907394917804071
Cl4Pb1,-0.891795351495298
Be2Ca1N2,-1.1958715821374
F6Rb2Zr1,-3.6010143660874
Cl3Ni1Rb1,-1.38653788937147
Ni1O3Ti1,-2.46731961457204
Cu1Ge1O3,-1.42368543386465
Cl3Ge1Rb1,-1.54441609437147
F4Sn1,-2.65949193867513
Al2Se3,-0.846610895
Hg1O3Ti1,-2.03784593327776
Ga2O3,-2.10084994652725
F6K2Na1Y1,-3.54133561306383
Ga1In1O3,-1.97035719952725
F6Fe1K1Rb2,-2.84695849297866
Cl4Zr1,-2.0617246554953
Ga1In1S3,-0.788069127408014
Mn1Rb2Te2,-0.763558443091952
O3Ti1Zn1,-2.58906115528451
Ge1Mn1O3,-2.02396760496963
Al2O3,-3.25358295452725
Ga2S3,-0.834109777408014
Cl3Mn1Na1,-1.61692139430042
Na2Ni1O2,-1.3400693429797
Ba1S3Ti1,-1.81955572916527
Ca1O3Sn1,-2.54273223289749
K2P2Si1,-0.590191996583975
Mg1O1,-2.94594340252271
Fe1In1O3,-1.7411188042101
Cr2Se3,-0.524640638999999
Hg1O3V1,-1.72608448657743
Cd1O3Sn1,-1.70058931289749
Ag2Hg1S2,-0.164553153598596
Ba2Nb1O6Y1,-3.28500442002725
Ca2Cd1P2,-1.02104068558398
Mn1Ni1O3,-1.59622953725716
Cr2O3,-2.48172841523096
F6Rb3Y1,-3.42072313897866
K2O2Zn1,-1.4778885093515
Mn1O3Sn1,-2.02439636233987
Ge1O2,-1.88885828891917
Fe1O3Ti1,-2.59959695996735
Mn1O1,-2.03612689904531
Mg1O3Ti1,-3.17551582911784
Mn1Rb2S2,-1.07648256936396
As2Rb2Sn1,-0.438956404370241
Ca2O6Si1Ti1,-3.22222570540588
Cl6K2Mo1,-1.63401986263497
Ba2Mn1Mo1O6,-2.67314532274844
Ag1Cr1Te2,-0.137119091041665
Mo1O3Sr1,-2.60909595952725
Ba2Fe1Mo1O6,-2.53601130236868
Mn1O4Sr2,-2.59498658367527
F2Mn1,-2.62925141735177
Mn1Rb2Se2,-0.93837089075862
In2O7Si2,-2.51514789192284
K3Sb1,-0.41762009125
Mn2O7V2,-2.33829875874039
F4K2Ni1,-2.56254932664635
Ca1Fe2P2,-0.958065311583976
In2Se4Zn1,-0.608733287142857
Mo1O8V2,-2.17459045341811
Ba1Ni1O2,-1.8944588845488
Ge1Se2,-0.258813316666667
Cl7Mn2Rb3,-1.75971092224334
Fe1Nb1O4,-2.38647600198821
Cl2Zn1,-1.38316938791275
Ca1Ni2P2,-0.968373141583975
Ag3Na1O2,-0.645393962518193
Na2O3Si1,-2.60121290988993
O4V1Y1,-3.1141229839666
Ge1Na2O3,-2.03952514322326
Cl2Pb1,-1.39345322041275
Mn1S2,-0.481138804773271
F4Sr1Zn1,-3.38433251192074
F4Fe1K1,-2.69512561442074
Mo1O4Sr1,-2.8045921697525
Al1Nb1O4,-3.04395544558584
Fe2O5Sr3,-2.41459709662222
Ba1Be2N2,-1.0456457501374
Ca2Fe1N2,-0.812655280137403
F6K2Na1Sc1,-3.54870303706383
Cd1F3Na1,-2.66372949064899
Mn1Na1Sb1,-0.177714079881583
Cu1Na2O2,-1.24118260102956
Cl4Hf1,-2.1162522174953
Ba2Sb2Zn1,-0.87573513
K2Te2Zn1,-0.879703071333332
Al1F6K3,-3.38187541597866
Ba3In2O6,-2.35701081320659
Ge2In2O7,-1.88851216465012
As2Ba1Cu2,-0.501221422
O2Sn1,-1.95348513953624
Cu1F2,-1.73034320775407
N2Sr1Zr1,-1.39208454767175
Cd1Ge1P2,-0.223976144479968
Ca1Mn1O3,-2.33948552796963
Fe1Ga2Se4,-0.456496291428572
Cl4Mn1Rb2,-1.81932071089566
As1K1Sn1,-0.436443615617067
Cd1In2Se4,-0.591114747142857
K1Te2Y1,-1.41264866416666
Fe2O6Sr3,-2.463758080191
Ag2Ni1O2,-0.576201088639038
Ga2Mn1Se4,-0.567256364827586
Cl6K4Mn1,-1.90136824522799
Cu2Sn1Te3,-0.154039597808532
Ag1Au1Cl4,-0.603590591662748
Cu1F4Sr1,-2.9529485610874
As1Cd1Na1,-0.429177308617216
Au1F4K1,-2.0119063785874
Cl2Sn1,-1.26448916519648
Ag1Na3O2,-1.23942369696874
Ga1Nb1O4,-2.54193476308584
Cr1Mg1O4,-2.13613074532349
Cd1Cr1O4,-1.58109694129571
F3Y1,-4.198114604765
O7Sr3Ti2,-3.30613114156032
F4Pb1,-2.12693580530489
Ca1F4Zn1,-3.3785200910874
Ca1Mo1O4,-2.7846454647525
As2Ba2Cd1,-0.949648812
Cr1P2,-0.596696305973291
Al2Hg1Se4,-0.688039052138038
Cd1Cu2S4Sn1,-0.57332758411308
F4Ni1Rb2,-2.53120552664635
Cl6Rb2Zr1,-2.19545034930164
Ag1Te2Y1,-0.930750786041665
Al2Cd1Te4,-0.466304717619046
Ga2Ni1S4,-0.689645758007633
Ba2Cu1O3,-2.14834917322054
K2Ni1O2,-1.31073326563904
O6V2Zn1,-2.14665583287131
Cu2Mg1O3,-1.49672524502949
As1Mg1Na1,-0.682587293339439
F2Ni1,-1.92510843942074
Cl4K2Mg1,-2.12887562023474
F2Zn1,-2.56711395275407
Cr1P1,-0.659261878229969
O7Sc2Si2,-3.43443707101375
As2Cd1Sr2,-0.964005468
F6Fe1K2Na1,-2.86351550356383
Ba1Mn2P2,-0.859324541101215
As2Mn3,-0.162470103275861
Ba1Ni2P2,-0.878947201583975
Hg1Mo1O4,-1.64363593974688
F7K3Zn2,-2.82061766657648
Ca1Cu2O3,-1.60699443100171
Na6O5Pb1,-1.51839503704197
Ba1Cu1F4,-2.9375555585874
Cd1Na1Sb1,-0.377147112783883
Au1F4Rb1,-2.00876249192074
Cr1Ni1O4,-1.53443650236866
F2Sn1,-2.5429584500378
Au1F4Na1,-1.96768430622935
Al1P1,-0.736775389479969
As2Ca1Fe2,-0.548115858000001
Hg1Te1,-0.137294654149799
Ba1Fe2S3,-1.12558272867335
F7K3Mn2,-2.83985234470866
Mo1O4Pb1,-2.0693676647525
Al1K1Mo2O8,-2.5141552660025
Hf1O2,-3.83914897558584
As2Ba1Fe2,-0.546001152000001
Hf1O4Si1,-3.4748656347525
Ag1K1O1,-0.950897641126251
Ag2Ge1S3,-0.370366666173345
Mn1Se2,-0.310418663764368
K1Mo2O8Sc1,-2.65700703141917
As2Ba1Ni2,-0.667587262000001
Mn1Te2,-0.124816980986587
F2Ge1,-2.3129872985874
Ag1Fe1Te2,0.164325034791668
Ag1Ca1Sb1,-0.711558560833334
Cr1Cu1O4,-1.35225007157688
K1Na1S1,-1.21461378578834
Ca2N2Zn1,-0.796709866137402
As2Ca1Ni2,-0.686548668
K1Nb1O3,-2.69421751252725
Au1Cl4Rb1,-1.17027307791275
Ba1F4Mn1,-3.38113860921959
Cl2Hg1,-0.817190008734838
O4Sc1V1,-2.96696136396661
Cr1O4V1,-2.38519473634315
Cl7K3Mn2,-1.74148017016001
Ni1O2Rb2,-1.26725817163904
Ba1Mn2Sb2,-0.310691729517241
Cd1Mo1O4,-1.96138258891917
F7K3Ni2,-2.49127986657648
Ca1Cr1O4,-2.38666812712905
Cr2Fe1K1O8,-1.7816853482469
Al1As2Na3,-0.574436798759158
K1Na1Se1,-1.14494267611722
N2Sr2Zn1,-0.647832490137403
Ca1Cu2P2,-0.664753117583974
Mn2Sb2Sr1,-0.20306912151724
F2Fe1,-2.19245672942074
Hg1O2Rb2,-1.18340044734476
As1In1,-0.2489241325
K1P1Zn1,-0.546136239653312
N1Y1,-1.79522274517175
Mo1Te2,-0.270957975555554
Cu1S1,-0.343549052840012
Al1As2K2Na1,-0.595422691808608
Rb2Se3Sn1,-0.926884747808533
Na1O3Rb1Ti1,-2.62866726287903
Cu2S3Sn1,-0.492283807315212
As2Mn2Zn1,0.0792177584827591
Cu1O3Sr2,-2.30516083655388
As1K1Zn1,-0.482976281666667
As2Mo1,-0.255010431666667
Ca2Cu1O3,-2.41303638488721
N3Na1Si2,-1.15266455031369
K2S3Ti1,-1.50886163680439
Ba1F4Fe1,-3.1519800635874
Al1K2Na1P2,-0.656875637295254
Ag2Te1,-0.0652728844444432
Ba3S7Zr2,-2.01926085234112
Ag1Ba1Te3Y1,-1.26558081458333
O2Ti1,-3.24264089184792
As1Hg1K1,-0.343122168322089
K1Na1Te1,-1.04630572472833
K1Rb1S1,-1.12465005883779
Cd1Cu1F4,-2.06162656942074
In1K3P2,-0.467047245486646
F4Mg1Sr1,-3.95202777428185
K1Sb1Zn1,-0.412935426666667
Na1Sb1Zn1,-0.348417678617216
Cu2Se3Sn1,-0.304137246141867
Be1Cl2,-1.66521271707941
Nb1O4Y1,-3.36928220808584
Ag3Rb1Se2,-0.433072115416667
Ag1Ba1Se3Y1,-1.55447085458333
Mo1O2,-2.1547869672525
Nb1O4Sc1,-3.28530504558584
As1Ca1Rb1,-0.858810323333334
Ag1Au1F4,-1.35550780900407
Fe1K1Mo2O8,-2.18621834420369
Al1F4Na1,-3.60345649122935
Ba1F4Sn1,-3.34857757722927
As2Ba1Mn2,-0.557964441517241
Na2Se3Zr1,-1.33974324778388
Ag1Hf1Rb1Te3,-0.774880557083331
Cd1K2Sb2Sr1,-0.631978113333333
F7K2Mn2Rb1,-2.839126701792
Fe1Mo2O8Rb1,-2.18992738712036
Na1Rb1S1,-1.19687668328833
As4Ge3,0.0019339107142855
Ag3K1Se2,-0.432135895416667
Ga1K2Na1P2,-0.563196342295254
As2In1K2Na1,-0.520243705975275
As2Ga1K2Na1,-0.527054022641941
Ge1Rb2S3,-1.09744733450668
In1K2Na1P2,-0.530890622295254
Rb2S3Si1,-1.27707672117335
As1Cd1K1,-0.434280323333333
Cu1Se1,-0.13754039
Ag3Rb1Te2,-0.396487475694444
Cu2Ge1S3,-0.469682557840012
O4Si1Ti1,-3.01179171455021
K2O3Ti1,-2.60267387440375
As1K1Mn1,-0.256089319597701
As1K1Mg1,-0.693726668055556
F4Pb1Sn1,-2.56539253139594
Ni1O1,-1.24151304615822
Na1P1Sn1,-0.457934223887596
In1Nb1O4,-2.4472085197525
Cd1K1Sb1,-0.411279936666667
Ag1Na3S2,-1.02794930968028
Ge1Hf1O4,-2.87653476058584
Ge1K2Se3,-0.877042221666667
Cl4Sr1Zn1,-2.04884909624608
In1K1O2,-1.79116342085604
N1Sc1,-2.01993888017175
Cr1Hg1O4,-1.23006836545676
Ba1Cd1K2Sb2,-0.640057676666666
Mo1P2,-0.685067019306625
Ba2Ca1Cu2Hg1O6,-1.8513961261344
Pb1Se1,-0.568947155
As1Be1Na1,-0.432157593617217
K2Se3Sn1,-0.916259158641867
Ca1O1,-3.19367239793938
As2Mn2Sr1,-0.45497032551724
Mn1Rb1Sb1,-0.116311967931034
P1Y1,-1.75392532197997
Ge1Hf1Te4,-0.46387906472222
Ge1Te4Zr1,-0.515137858055553
Ge1Rb2Se3,-0.886092065
K1Sb1Sn1,-0.378971425617067
Cu1F6Zr1,-3.06765065309833
Hg1K2Se4Sn1,-0.733994258977184
Cu2Ge1Te4Zn1,-0.189740571041666
Cr1F6Na1Rb2,-3.06807911056383
As2K2Si1,-0.461500059
As2Ba2Zn1,-0.950309619
Cu1F3Rb1,-2.29523027047866
Cd2O7V2,-2.02184636288368
O2Zr1,-3.63298243058584
Ge1O8Zr3,-3.18705526766917
Ba1O1,-2.68244427293938
O1Sr1,-2.94105617793938
Ag1Ba1Sb1,-0.2941839075
F6In1K2Na1,-2.98307963156383
Cr1F6K2Na1,-3.07433071556383
Na2S2Zn1,-1.144588322946
As2Ge1K2,-0.405740568
As2Rb2Si1,-0.449489136
Mn1O6Sr2Zr1,-2.94594739874844
Mo1Ni1O6Sr2,-2.52065149417102
F6Ga1K1Rb2,-3.04315573147866
In2S6Zn3,-0.789172922189104
O4Si1Zr1,-3.3764003797525
Ag1Sb1Sr1,-0.3892116025
Cd1O3Ti1,-2.48064017428451
Mo1O6Sr2Zn1,-2.55029846952725
Ca1Rb1Sb1,-0.814797415
Pb1Te1,-0.408235966666665
Ge1O3Zn1,-1.79823276752725
